module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;
binary;baseline;kernel.c:33-41;80.15;42.87;;;;
libc-2.29.so;random;;6.33;3.39;;;;
binary;init_array;driver.c:105-112;5.32;2.85;;;;
libc-2.29.so;random_r;;4.58;2.45;;;;
libc-2.29.so;rand;;1.61;0.86;;;;
kernel;clear_page_erms;;1.07;0.57;;;;
binary;Unknown function;;0.76;0.41;;;;
kernel;exit_to_usermode_loop;;0.03;0.01;;;;
kernel;get_page_from_freelist;;0.02;0.01;;;;
kernel;__free_pages_ok;;0.02;0.01;;;;
kernel;rcu_all_qs;;0.02;0.01;;;;
kernel;clear_subpage;;0.02;0.01;;;;
kernel;_raw_spin_unlock_irqrestore;;0.01;0.01;;;;
kernel;_cond_resched;;0.01;0.01;;;;
kernel;prep_new_page;;0.01;0;;;;
kernel;__do_page_fault;;0.01;0;;;;
kernel;mem_cgroup_commit_charge;;0;0;;;;
kernel;uncharge_batch;;0;0;;;;
kernel;mem_cgroup_throttle_swaprate;;0;0;;;;
kernel;__alloc_pages_nodemask;;0;0;;;;
kernel;free_unref_page_list;;0;0;;;;
kernel;handle_mm_fault;;0;0;;;;
kernel;run_timer_softirq;;0;0;;;;
kernel;rcu_core;;0;0;;;;
